TA2ID;English
766;Anterior nasal spine
767;Infratemporal surface of maxilla
768;Alveolar foramina
769;Posterior superior alveolar foramina
770;Middle superior alveolar foramen
771;Anterior superior alveolar foramen
772;Alveolar canals
773;Maxillary tuberosity
774;Nasal surface of maxilla
775;Lacrimal groove of maxilla
776;Conchal crest of maxilla
777;Lacrimal margin of maxilla
778;Hiatus of maxilla
779;Greater palatine groove of maxilla
780;Sinus of maxilla
781;Frontal process of maxilla
782;Anterior lacrimal crest
783;Lacrimal notch
784;Ethmoidal crest of maxilla
785;Zygomatic process of maxilla
786;Palatine process
787;Nasal crest of maxilla
788;Incisive canals
789;Palatine spines
790;Palatine grooves
791;Alveolar process
792;Alveolar arch of maxilla
793;Dental alveoli of maxilla
794;Interalveolar septa of maxilla
795;Interradicular septa of maxilla
796;Alveolar yokes of maxilla
797;Incisive foramina
798;Palatine bone
799;Perpendicular plate of palatine bone
800;Nasal surface of perpendicular plate
801;Maxillary surface of palatine bone
802;Sphenopalatine notch
803;Greater palatine groove of palatine bone
804;Pyramidal process
805;Lesser palatine canals
806;Conchal crest of palatine bone
807;Maxillary process of palatine bone
808;Ethmoidal crest of palatine bone
809;Orbital process
810;Sphenoidal process
811;Horizontal plate of palatine bone
812;Nasal surface of horizontal plate
813;Palatine surface of palatine bone
814;Lesser palatine foramina
815;Posterior nasal spine
816;Nasal crest of palatine bone
817;Palatine crest
818;Zygomatic bone
819;(Os japonicum)
820;Lateral surface of zygomatic bone
821;Temporal surface of zygomatic bone
822;Orbital surface of zygomatic bone
823;Temporal process of zygomatic bone bone
824;Frontal process of zygomatic bone
825;Orbital tubercle
826;(Marginal tubercle)
827;Zygomatico-orbital foramen
828;Zygomaticofacial foramen
829;Zygomaticotemporal foramen
830;Accessory bones of cranium
831;(Sutural bone)
832;(Interparietal bone)
833;(Premaxilla)
834;Extracranial bones of head
835;Mandible
836;Body of mandible
837;Base of mandible
838;(Mandibular symphysis)
839;Gnathion
840;Mental protuberance
841;Mental tubercle
842;Superior mental spine
843;Inferior mental spine
844;Genion
845;Mental foramen
846;Oblique line of mandible
847;Digastric fossa
848;Mylohyoid line
849;(Mandibular torus)
850;Sublingual fossa
851;Submandibular fossa
852;Alveolar part of mandible
853;Alveolar arch of mandible
854;Dental alveoli of mandible
855;Interalveolar septa of mandible
856;Interradicular septa of mandible
857;Alveolar yokes of mandible
858;Retromolar triangle
859;Retromolar fossa
860;Ramus of mandible
861;Angle of mandible
862;Gonion
863;(Masseteric tuberosity)
864;(Pterygoid tuberosity)
865;Inferior alveolar foramen
866;Lingula of mandible
867;Mandibular canal
868;Mylohyoid groove
869;Coronoid process of mandible
870;Temporal crest
871;Mandibular notch
872;Condylar process
873;Mandibular condyle
874;Neck of mandible
875;Pterygoid fovea
876;Hyoid bone
877;Body of hyoid bone
878;Lesser horn of hyoid bone
879;Greater horn of hyoid bone
880;Auditory ossicles (part of skeletal system)
881;Malleus
882;Handle of malleus
883;Head of malleus
884;Articular facet of head of malleus
885;Neck of malleus
886;Lateral process of malleus
887;Anterior process of malleus
888;Incus
889;Body of incus
890;Articular facet for malleus
891;Long limb of incus
892;Lenticular process of incus
893;Articular facet for stapes
894;Short limb of incus
895;Stapes
896;Head of stapes
897;Articular facet of head of stapes
898;Anterior limb of stapes
899;Posterior limb of stapes
900;Base of stapes
901;Teeth
902;Maxillary dental arch
903;Mandibular dental arch
904;(Diastema)
905;Anterior teeth
906;Incisor tooth
906*11;Upper medial incisor
906*31;Lower medial incisor
906*12;Upper lateral incisor
906*32;Lower lateral incisor
907;Canine tooth
907*13;Upper canine
907*33;Lower canine
908;Posterior teeth
909;Premolar tooth
909*14;Upper first premolar
909*34;Lower first premolar
909*15;Upper second premolar
909*35;Lower second premolar
910;Molar tooth
910*16;Upper first molar tooth
910*36;Lower first molar tooth
910*17;Upper second molar tooth
910*37;Lower second molar tooth
911*18;Upper third molar tooth
911*38;Lower third molar tooth
912;Deciduous teeth
913;Permanent teeth
914;Tooth
915;Crown of tooth
916;Occlusal surface of tooth
917;Vestibular surface of tooth
918;Labial surface of tooth
919;Buccal surface of tooth
920;Palatal surface of tooth
921;Lingual surface of tooth
922;Approximal surface of tooth
923;Mesial surface of tooth
924;Distal surface of tooth
925;Cusp of tooth
926;Neck of tooth
927;Root of tooth
928;Root apex
929;Accessory root
930;Pulp cavity
931;Pulp cavity of crown
932;Root canal
933;Apical foramen
934;Dental pulp
935;Crown pulp
936;Root pulp
937;Dentine
938;Enamel
939;Nasal cartilages (part of skeletal system)
940;Major alar cartilage
941;Medial crus of major alar cartilage
942;Mobile part of nasal septum
943;Lateral crus of major alar cartilage
944;Minor alar cartilages
945;Accessory nasal cartilages
946;Nasal septal cartilage
947;Lateral process of nasal septal cartilage
948;Posterior process of nasal septal cartilage
949;Vomeronasal cartilage
950;Cartilages of ear
951;Auricular cartilage
952;Spine of helix
953;Tail of helix
954;Isthmus of auricular cartilage
955;Terminal notch of auricle
956;Fissura antitragohelicina
957;Groove of crus of helix
958;Cartilage of external acoustic meatus (skeletal system)
959;Notch in cartilage of external acoustic meatus
960;Tragal lamina
961;Cartilage of auditory tube
962;Medial lamina of cartilage of auditory tube
963;Lateral lamina of cartilage of auditory tube
964;Laryngeal cartilages (part of skeletal system)
965;Epiglottic cartilage
966;Stalk of epiglottis
967;Thyroid cartilage
968;Laryngeal prominence
969;Superior thyroid notch
970;Inferior thyroid notch
971;Lamina of thyroid cartilage
972;Superior thyroid tubercle
973;Inferior thyroid tubercle
974;Oblique line of thyroid cartilage
975;Superior horn of thyroid cartilage
976;Inferior horn of thyroid cartilage
977;(Thyroid foramen)
978;Cricoid cartilage
979;Arch of cricoid cartilage
980;Lamina of cricoid cartilage
981;Arytenoid articular surface
982;Thyroid articular surface
983;Arytenoid cartilage
984;Base of arytenoid cartilage
985;Articular surface of arytenoid cartilage
986;Vocal process
987;Muscular process
988;Anterolateral surface of arytenoid cartilage
989;Arcuate crest
990;Colliculus of arytenoid cartilage
991;Oblong fovea
992;Triangular fovea
993;Medial surface of arytenoid cartilage
994;Posterior surface of arytenoid cartilage
995;Apex of arytenoid cartilage
996;Minor laryngeal cartilages
997;Corniculate cartilage
998;Cuneiform cartilage
999;(Triticeal cartilage)
1000;(Sesamoid cartilage of larynx)
1001;Vertebral column
1002;Primary curvatures
1003;Thoracic kyphosis
1004;Sacral kyphosis
1005;Secondary curvatures
1006;Cervical lordosis
1007;Lumbar lordosis
1008;(Scoliosis)
1009;Vertebral canal
1010;Bones of vertebral column
1011;Vertebra
1012;Vertebral body
1013;Intervertebral surface
1014;Annular epiphysis
1015;Vertebral arch
1016;Pedicle of vertebral arch
1017;Lamina of vertebral arch
1018;Pars interarticularis of vertebral arch
1019;Intervertebral foramen
1020;Superior vertebral notch
1021;Inferior vertebral notch
1022;Vertebral foramen
1023;Spinous process
1024;Transverse process
1025;Lateral part of transverse process
1026;Costal part of transverse process
1027;Superior articular process of vertebra
1028;Superior articular facet of vertebra
1029;Inferior articular process of vertebra
1030;Inferior articular facet of vertebra
1031;Cervical vertebrae
1032;Cervical vertebra
1033;Uncinate process of vertebra
1034;Foramen transversarium
1035;Anterior tubercle of transverse process
1036;Posterior tubercle of transverse process
1037;Groove for spinal nerve
1038;Atlas (C1)
1039;Lateral mass
1040;Superior articular surface of atlas
1041;Inferior articular surface of atlas
1042;Transverse ligament tubercle
1043;Anterior arch of atlas
1044;Facet for dens
1045;Anterior tubercle of atlas
1046;Posterior arch of atlas
1047;Groove for vertebral artery
1048;(Canal for vertebral artery)
1049;Posterior tubercle of atlas
1050;Axis (C2)
1051;Dens axis
1052;Apex of dens axis
1053;Anterior articular facet of dens axis
1054;Posterior articular facet of dens axis
1032*3;Vertebra C3
1032*4;Vertebra C4
1032*5;Vertebra C5
1055;Vertebra C6
1032*7;Vertebra C7
1063*1;Vertebra T1
1059*2;Vertebra T2
1059*3;Vertebra T3
1059*4;Vertebra T4
1059*5;Vertebra T5
1059*6;Vertebra T6
1065*7;Vertebra T7
1065*8;Vertebra T8
1065*9;Vertebra T9
1065*10;Vertebra T10
1065*11;Vertebra T11
1065*12;Vertebra T12
